player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits,p_middle_hits,expected_value,note,market_mean,historical_std,historical_games
Dalton Schultz,receiving-yards,hou,fanatics,30.5,-135,caesars,35.5,-113.0,5.0,9,51.99,48.01,-9.5,81.0,0.0722,-2.97,,33.06,27.6,116.0
James Cook,rushing-yards,buf,bet365,70.5,-110,draftkings,75.5,-112.0,5.0,9,49.79,50.21,-4.95,90.09,0.0442,-0.75,,73.83,45.13,62.0
James Cook,receiving-yards,buf,fanatics,10.5,-150,underdog,15.5,-137.0,5.0,5,50.93,49.07,-15.11,69.77,0.1038,-6.3,,13.5,19.16,62.0
Javonte Williams,rushing-yards,dal,bet365,68.5,-110,riverscasino,73.5,-114.0,5.0,9,49.58,50.42,-5.35,89.3,0.0652,0.82,,72.5,30.52,66.0
Dontayvion Wicks,receiving-yards,phi,fanatics,20.5,-135,underdog,25.5,-137.0,5.0,5,49.84,50.16,-13.23,73.53,0.0775,-6.51,,23.5,25.7,43.0
DeMario Douglas,receiving-yards,nwe,fanatics,15.5,-135,riverscasino,20.5,-118.0,5.0,9,51.49,48.51,-10.37,79.25,0.0768,-3.49,,18.39,25.93,45.0
Ja'Marr Chase,receiving-yards,cin,caesars,85.5,-117,draftkings,90.5,-114.0,5.0,9,50.3,49.7,-6.71,86.59,0.0393,-3.04,,87.28,50.7,72.0
Jalen Nailor,receiving-yards,lvr,fanatics,15.5,-135,underdog,20.5,-137.0,5.0,5,49.84,50.16,-13.23,73.53,0.0806,-6.24,,18.5,24.7,51.0
Jameson Williams,receiving-yards,det,bet365,55.5,-110,riverscasino,60.5,-115.0,5.0,9,49.48,50.52,-5.54,88.91,0.0462,-1.17,,58.06,43.13,46.0
Mark Andrews,receiving-yards,bal,fanatics,30.5,-135,riverscasino,35.5,-112.0,5.0,9,52.09,47.91,-9.32,81.36,0.0631,-3.6,,33.17,31.57,114.0
Mike Evans,receiving-yards,sfo,bet365,46.5,-110,draftkings,51.5,-110.0,5.0,9,50.0,50.0,-4.55,90.91,0.0463,-0.13,,49.61,43.03,167.0
Malik Willis,rushing-yards,mia,fanatics,35.5,-115,underdog,40.5,-137.0,5.0,5,48.06,51.94,-10.15,79.7,0.0958,-1.54,,38.5,20.77,20.0
Kenneth Walker,rushing-yards,kan,prizepicks,59.5,-137,draftkings,64.5,-114.0,5.0,9,52.04,47.96,-9.97,80.06,,,"insufficient history (0 games, need 6+)",,,
Kyler Murray,passing-yards,min,fanatics,220.5,-110,bet365,225.5,-110.0,5.0,9,50.0,50.0,-4.55,90.91,0.0279,-1.89,,222.5,71.52,82.0
