player_name,stat_field,line,category_original,team,opponent,home_away,over_odds,over_book,under_odds,under_book,moneyline_odds,moneyline_book,site_projection,projection_diff
Jared Goff,pass_rush_yds,271.5,passing-and-rushing-yards,det,nor,h,-115,bet365,-115,bet365,,,271.0,-0.5
Dak Prescott,pass_rush_yds,263.5,passing-and-rushing-yards,dal,nyg,a,-115,bet365,-112,draftkings,,,268.0,-3.5
Matthew Stafford,pass_rush_yds,266.5,passing-and-rushing-yards,,sfo,h,-115,bet365,-115,bet365,,,265.0,-1.5
Tyler Shough,pass_rush_yds,263.5,passing-and-rushing-yards,nor,det,a,-115,bet365,-114,fanduel,,,262.0,-4.5
Brock Purdy,pass_rush_yds,265.5,passing-and-rushing-yards,sfo,,a,-114,draftkings,-114,fanduel,,,261.0,-4.5
Jahmyr Gibbs,rush_rec_yds,115.5,rushing-and-receiving-yards,det,nor,h,-115,bet365,-113,draftkings,,,118.0,-1.5
Justin Jefferson,rush_rec_yds,77.5,rushing-and-receiving-yards,min,gnb,h,-115,bet365,-115,bet365,,,76.0,-1.5
Rashee Rice,rush_rec_yds,65.5,rushing-and-receiving-yards,kan,den,h,-115,bet365,-115,bet365,,,60.8,-4.7
Bijan Robinson,rush_rec_yds,113.5,rushing-and-receiving-yards,atl,pit,a,-114,draftkings,-115,bet365,,,120.0,6.5
De'Von Achane,rush_rec_yds,100.5,rushing-and-receiving-yards,mia,lvr,a,-110,fanatics,-113,fanduel,,,102.0,-1.5
Christian McCaffrey,rush_rec_yds,100.5,rushing-and-receiving-yards,sfo,,a,-118,riverscasino,-115,caesars,,,104.0,0.5
