player,category,over_book,over_line,over_odds,under_book,under_line,under_odds,width,p_middle,ev_pct_per_leg,ev_over_leg,ev_under_leg
Jaxon Smith-Njigba,receiving-yards,caesars,80.5,-115,draftkings,81.5,-114,1.0,0.01,-5.44,-6.43,-4.45
George Pickens,receiving-yards,caesars,62.5,-118,draftkings,63.5,-112,1.0,0.011,-5.46,-6.7,-4.21
Dalton Schultz,receiving-yards,draftkings,36.5,-115,caesars,37.5,-117,1.0,0.015,-5.48,-4.17,-6.8
Saquon Barkley,rushing-and-receiving-yards,draftkings,93.5,-114,caesars,94.5,-115,1.0,0.009,-5.49,-4.46,-6.52
Jalen Hurts,passing-yards,caesars,205.5,-115,draftkings,206.5,-113,1.0,0.006,-5.54,-5.72,-5.36
Jaxson Dart,rush-attempts,draftkings,5.5,-147,caesars,6.5,-148,1.0,0.125,-5.58,-3.93,-7.23
Jared Goff,passing-yards,draftkings,266.5,-113,caesars,267.5,-115,1.0,0.006,-5.6,-4.67,-6.52
Jayden Daniels,passing-yards,caesars,214.5,-121,draftkings,216.5,-111,2.0,0.013,-5.65,-7.53,-3.76
Sam LaPorta,receiving-yards,draftkings,45.5,-115,caesars,46.5,-117,1.0,0.013,-5.66,-4.63,-6.7
Ja'Marr Chase,receiving-yards,caesars,74.5,-120,draftkings,75.5,-112,1.0,0.01,-5.93,-6.69,-5.18
Jared Goff,pass-attempts,draftkings,35.5,-120,caesars,36.5,-134,1.0,0.051,-5.95,-4.61,-7.28
Omarion Hampton,rush-attempts,draftkings,15.5,-133,caesars,16.5,-134,1.0,0.074,-6.08,-4.82,-7.34
Justin Jefferson,receiving-yards,caesars,74.5,-122,draftkings,75.5,-112,1.0,0.01,-6.24,-9.02,-3.47
Matthew Stafford,passing-tds,caesars,1.5,-205,draftkings,2.5,-221,1.0,0.27,-6.68,-7.17,-6.18
Josh Allen,longest-completion,caesars,39.5,-122,draftkings,40.5,-110,1.0,,,,
