player_name,category,team,book,line,consensus_mean,other_books_count,diff,diff_pct,direction
Derrick Henry,receiving-yards,bal,sleeper,6.5,7.5,4,-1.0,-13.33,Lower than consensus
Derrick Henry,receiving-yards,bal,caesars,6.5,7.5,4,-1.0,-13.33,Lower than consensus
Derrick Henry,receiving-yards,bal,fanduel,6.5,7.5,4,-1.0,-13.33,Lower than consensus
Derrick Henry,receiving-yards,bal,draftkings,6.5,7.5,4,-1.0,-13.33,Lower than consensus
Mark Andrews,receiving-yards,bal,fanatics,30.5,35.1,5,-4.6,-13.11,Lower than consensus
Justin Herbert,rush-attempts,lac,hardrock,4.5,5.17,3,-0.67,-12.9,Lower than consensus
Justin Herbert,rush-attempts,lac,sleeper,4.5,5.17,3,-0.67,-12.9,Lower than consensus
Geno Smith,rushing-yards,nyj,riverscasino,5.5,6.3,5,-0.8,-12.7,Lower than consensus
Geno Smith,rushing-yards,nyj,fanatics,5.5,6.3,5,-0.8,-12.7,Lower than consensus
Geno Smith,rushing-yards,nyj,fanduel,5.5,6.3,5,-0.8,-12.7,Lower than consensus
Travis Etienne,receiving-yards,nor,fanatics,15.5,17.75,4,-2.25,-12.68,Lower than consensus
Tyler Shough,rush-attempts,nor,sleeper,4.5,4.0,2,0.5,12.5,Higher than consensus
Harold Fannin,receptions,cle,draftkings,3.5,4.0,4,-0.5,-12.5,Lower than consensus
Harold Fannin,receptions,cle,caesars,3.5,4.0,4,-0.5,-12.5,Lower than consensus
Harold Fannin,receptions,cle,hardrock,3.5,4.0,4,-0.5,-12.5,Lower than consensus
Cam Skattebo,rush-attempts,nyg,fanduel,13.5,12.0,4,1.5,12.5,Higher than consensus
Tyler Shough,rush-attempts,nor,hardrock,4.5,4.0,2,0.5,12.5,Higher than consensus
Deshaun Watson,rushing-yards,cle,riverscasino,15.5,17.7,5,-2.2,-12.43,Lower than consensus
Brock Purdy,rushing-yards,sfo,fanatics,15.5,17.7,5,-2.2,-12.43,Lower than consensus
Deshaun Watson,rushing-yards,cle,fanatics,15.5,17.7,5,-2.2,-12.43,Lower than consensus
Trevor Lawrence,rushing-yards,jax,draftkings,18.5,16.5,5,2.0,12.12,Higher than consensus
TreVeyon Henderson,rush-attempts,nwe,draftkings,5.5,6.25,4,-0.75,-12.0,Lower than consensus
TreVeyon Henderson,rush-attempts,nwe,sleeper,5.5,6.25,4,-0.75,-12.0,Lower than consensus
TreVeyon Henderson,rush-attempts,nwe,hardrock,5.5,6.25,4,-0.75,-12.0,Lower than consensus
David Montgomery,receiving-yards,hou,riverscasino,7.5,8.5,5,-1.0,-11.76,Lower than consensus
David Montgomery,receiving-yards,hou,fanduel,7.5,8.5,5,-1.0,-11.76,Lower than consensus
Chris Rodriguez,rush-attempts,jax,draftkings,7.5,8.5,5,-1.0,-11.76,Lower than consensus
Harrison Mevis,kicking-points,,draftkings,7.5,8.5,2,-1.0,-11.76,Lower than consensus
David Montgomery,receiving-yards,hou,sleeper,7.5,8.5,5,-1.0,-11.76,Lower than consensus
TreVeyon Henderson,rushing-and-receiving-yards,nwe,riverscasino,29.5,33.3,5,-3.8,-11.41,Lower than consensus
TreVeyon Henderson,rushing-and-receiving-yards,nwe,draftkings,29.5,33.3,5,-3.8,-11.41,Lower than consensus
Jauan Jennings,receiving-yards,min,fanatics,20.5,23.1,5,-2.6,-11.26,Lower than consensus
Jaxson Dart,rushing-yards,nyg,draftkings,32.5,29.25,4,3.25,11.11,Higher than consensus
Tyjae Spears,rushing-yards,ten,fanduel,22.5,20.3,5,2.2,10.84,Higher than consensus
Saquon Barkley,rush-attempts,phi,fanduel,16.5,18.5,5,-2.0,-10.81,Lower than consensus
Xavier Legette,receiving-yards,car,fanatics,20.5,18.5,4,2.0,10.81,Higher than consensus
Cole Kmet,receiving-yards,chi,fanatics,15.5,14.0,4,1.5,10.71,Higher than consensus
James Cook,receiving-yards,buf,fanatics,15.5,14.0,4,1.5,10.71,Higher than consensus
Bucky Irving,receiving-yards,tam,draftkings,14.5,13.1,5,1.4,10.69,Higher than consensus
Bucky Irving,receiving-yards,tam,riverscasino,14.5,13.1,5,1.4,10.69,Higher than consensus
Hunter Henry,receiving-yards,nwe,fanatics,30.5,34.1,5,-3.6,-10.56,Lower than consensus
Noah Gray,receiving-yards,kan,sleeper,8.5,9.5,3,-1.0,-10.53,Lower than consensus
Blake Corum,rush-attempts,,fanduel,8.5,9.5,4,-1.0,-10.53,Lower than consensus
Jaylen Warren,rush-attempts,pit,fanduel,10.5,9.5,5,1.0,10.53,Higher than consensus
Quinshon Judkins,receiving-yards,cle,riverscasino,8.5,9.5,4,-1.0,-10.53,Lower than consensus
Noah Gray,receiving-yards,kan,caesars,8.5,9.5,3,-1.0,-10.53,Lower than consensus
Mike Evans,longest-reception,sfo,fanduel,21.5,19.5,2,2.0,10.26,Higher than consensus
Xavier Hutchinson,receiving-yards,hou,draftkings,17.5,19.5,4,-2.0,-10.26,Lower than consensus
Christian Watson,receptions,gnb,draftkings,3.5,3.9,5,-0.4,-10.26,Lower than consensus
Christian Watson,receptions,gnb,fanatics,3.5,3.9,5,-0.4,-10.26,Lower than consensus
