year,week,team_1,team_2,date,time,location,boxscore_url
2022,17,Tampa Bay Buccaneers,Carolina Panthers,2023-01-01,1:00PM,Tampa Bay,/boxscores/202301010tam.htm
2022,17,Detroit Lions,Chicago Bears,2023-01-01,1:00PM,Detroit,/boxscores/202301010det.htm
2022,17,Cleveland Browns,Washington Commanders,2023-01-01,1:00PM,Washington,/boxscores/202301010was.htm
2022,17,New York Giants,Indianapolis Colts,2023-01-01,1:00PM,New York,/boxscores/202301010nyg.htm
2022,17,Kansas City Chiefs,Denver Broncos,2023-01-01,1:00PM,Kansas City,/boxscores/202301010kan.htm
2022,17,Jacksonville Jaguars,Houston Texans,2023-01-01,1:00PM,Houston,/boxscores/202301010htx.htm
2022,17,New England Patriots,Miami Dolphins,2023-01-01,1:00PM,New England,/boxscores/202301010nwe.htm
2022,17,New Orleans Saints,Philadelphia Eagles,2023-01-01,1:00PM,Philadelphia,/boxscores/202301010phi.htm
2022,17,Seattle Seahawks,New York Jets,2023-01-01,4:05PM,Seattle,/boxscores/202301010sea.htm
2022,17,San Francisco 49ers,Las Vegas Raiders,2023-01-01,4:05PM,Las Vegas,/boxscores/202301010rai.htm
2022,17,Green Bay Packers,Minnesota Vikings,2023-01-01,4:25PM,Green Bay,/boxscores/202301010gnb.htm
2022,17,Los Angeles Chargers,Los Angeles Rams,2023-01-01,4:25PM,Los Angeles,/boxscores/202301010sdg.htm
2022,17,Pittsburgh Steelers,Baltimore Ravens,2023-01-01,8:20PM,Baltimore,/boxscores/202301010rav.htm
2022,18,Kansas City Chiefs,Las Vegas Raiders,2023-01-07,4:30PM,Las Vegas,/boxscores/202301070rai.htm
2022,18,Jacksonville Jaguars,Tennessee Titans,2023-01-07,8:15PM,Jacksonville,/boxscores/202301070jax.htm
2022,18,Buffalo Bills,New England Patriots,2023-01-08,1:00PM,Buffalo,/boxscores/202301080buf.htm
2022,18,Cincinnati Bengals,Baltimore Ravens,2023-01-08,1:00PM,Cincinnati,/boxscores/202301080cin.htm
2022,18,Atlanta Falcons,Tampa Bay Buccaneers,2023-01-08,1:00PM,Atlanta,/boxscores/202301080atl.htm
2022,18,Carolina Panthers,New Orleans Saints,2023-01-08,1:00PM,New Orleans,/boxscores/202301080nor.htm
2022,18,Minnesota Vikings,Chicago Bears,2023-01-08,1:00PM,Chicago,/boxscores/202301080chi.htm
2022,18,Pittsburgh Steelers,Cleveland Browns,2023-01-08,1:00PM,Pittsburgh,/boxscores/202301080pit.htm
2022,18,Houston Texans,Indianapolis Colts,2023-01-08,1:00PM,Indianapolis,/boxscores/202301080clt.htm
2022,18,Miami Dolphins,New York Jets,2023-01-08,1:00PM,Miami,/boxscores/202301080mia.htm
2022,18,San Francisco 49ers,Arizona Cardinals,2023-01-08,4:25PM,San Francisco,/boxscores/202301080sfo.htm
2022,18,Washington Commanders,Dallas Cowboys,2023-01-08,4:25PM,Washington,/boxscores/202301080was.htm
2022,18,Denver Broncos,Los Angeles Chargers,2023-01-08,4:25PM,Denver,/boxscores/202301080den.htm
2022,18,Philadelphia Eagles,New York Giants,2023-01-08,4:25PM,Philadelphia,/boxscores/202301080phi.htm
2022,18,Seattle Seahawks,Los Angeles Rams,2023-01-08,4:25PM,Seattle,/boxscores/202301080sea.htm
2022,18,Detroit Lions,Green Bay Packers,2023-01-08,8:20PM,Green Bay,/boxscores/202301080gnb.htm
