first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Terrance,Ferguson,TE,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,2500,23,4.3,3.5,3.5,3,1.22,,,Terrance Ferguson
Josh,Whyle,TE,,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,2500,21,3.6,3.9,2.8,3,1.21,,,Josh Whyle
Elijah,Arroyo,TE,,14,12/7/25,Thu-Mon,SEA,ATL,-6.5,44.5,25.5,2500,2,2.8,3.1,3.2,2.9,1.15,,,Elijah Arroyo
Isaiah,Williams,WR,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,3000,7,3.3,1.7,3.3,2.9,0.95,,,Isaiah Williams
Tyrell,Shavers,WR,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,3000,6,6,4.8,4.9,2.8,0.93,,,Tyrell Shavers
Isaiah,Bond,WR,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,3000,23,3,3.7,3.7,2.8,0.93,,,Isaiah Bond
Tyler,Badie,RB,,14,12/7/25,Thu-Mon,DEN,LV,-7.5,40.5,24,4000,19,1.6,2.1,2.3,2.8,0.71,,,Tyler Badie
Jackson,Hawes,TE,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,2500,32,4.5,4.2,4.2,2.7,1.09,,,Jackson Hawes
Chris,Brooks,RB,,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,4000,15,2.3,2.3,2.2,2.6,0.65,,,Chris Brooks
Jawhar,Jordan,RB,,14,12/7/25,Thu-Mon,HOU,KC,3.5,41.5,19,4000,6,,,,2.6,0.65,,,Jawhar Jordan
Joshua,Palmer,WR,Q,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,3500,6,5.2,6.2,5.7,2.5,0.7,,,Joshua Palmer
Anthony,Firkser,TE,,14,12/4/25,Thu-Mon,DET,DAL,-3.5,54.5,29,2500,19,0.3,0.3,1.4,2.5,0.99,,,Anthony Firkser
