first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Jordan,Whittington,WR,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,3000,14,1.8,2.6,2.8,1.9,0.64,,Jordan Whittington
Jake,Bobo,WR,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,3000,19,2.6,1.7,2.0,1.8,0.59,,Jake Bobo
Jalen,Brooks,WR,,18,2026-01-04,Sat-Sun,ARI,LAR,7.5,45.5,19.0,3000,28,3.6,3.0,3.6,1.7,0.56,,Jalen Brooks
Chris,Moore,WR,,18,2026-01-04,Sat-Sun,WAS,PHI,4.5,38.5,17.0,3200,7,5.4,3.6,5.2,1.7,0.54,,Chris Moore
Britain,Covey,WR,,18,2026-01-04,Sat-Sun,PHI,WAS,-4.5,38.5,21.5,3000,25,2.1,1.9,,1.7,0.58,,Britain Covey
Drew,Sample,TE,,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,2500,13,2.6,3.1,2.8,1.6,0.65,,Drew Sample
Mitch,Tinsley,WR,,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,3000,3,4.3,3.2,4.0,1.6,0.53,,Mitch Tinsley
Cedrick,Wilson Jr.,WR,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,3000,16,2.6,3.0,1.9,1.6,0.54,,Cedrick Wilson Jr.
Julian,Hill,TE,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,2500,29,2.8,2.5,3.1,1.6,0.63,,Julian Hill
Luke,Schoonmaker,TE,,18,2026-01-04,Sat-Sun,DAL,NYG,-3.5,51.5,27.5,2800,6,1.9,2.2,1.8,1.6,0.56,,Luke Schoonmaker
Jabari,Small,RB,,18,2026-01-04,Sat-Sun,DET,CHI,2.5,50.5,24.0,4000,11,,,,1.5,0.37,,Jabari Small
Jahdae,Walker,WR,,18,2026-01-04,Sat-Sun,CHI,DET,-2.5,50.5,26.5,3400,31,10.1,10.1,10.1,1.5,0.43,,Jahdae Walker
