PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Miami Dolphins,D,MIA,GB,147,48,3.5,22.25,2700,5.54,2.1,0,0,0,0,0
Wan'Dale Robinson,WR,NYG,DAL,149,37.5,3.5,17,4700,9.47,2,0,0.6,6.1,6.7,1.4
D'Andre Swift,RB,CHI,DET,383,48.5,9.5,19.5,6000,11.7,2,0,14.1,2.9,17,2.8
Jaylen Waddle,WR,MIA,GB,147,48,3.5,22.25,5400,11.04,2,0,0.1,6.1,6.2,1.2
Green Bay Packers,D,GB,MIA,-177,48,-3.5,25.75,3000,5.82,1.9,0,0,0,0,0
Malik Nabers,WR,NYG,DAL,149,37.5,3.5,17,7100,13.79,1.9,0,0.1,8.8,8.9,1.3
Tyreek Hill,WR,MIA,GB,147,48,3.5,22.25,6900,12.93,1.9,0,0.2,6.7,6.9,1
Jameson Williams,WR,DET,CHI,-520,48.5,-9.5,29,6100,11.03,1.8,0,0.4,5,5.4,0.9
Christian Watson,WR,GB,MIA,-177,48,-3.5,25.75,4900,8.08,1.7,0,0.2,4.1,4.3,0.9
Odell Beckham,WR,MIA,GB,147,48,3.5,22.25,3200,5.18,1.6,0,0.1,2.9,3,0.9
Chicago Bears,D,CHI,DET,383,48.5,9.5,19.5,2300,3.78,1.6,0,0,0,0,0
Jalen Tolbert,WR,DAL,NYG,-181,37.5,-3.5,20.5,3800,6.18,1.6,0,0.1,4.2,4.3,1.1
Dontayvion Wicks,WR,GB,MIA,-177,48,-3.5,25.75,4200,6.41,1.5,0,0.1,3.2,3.3,0.8
Darius Slayton,WR,NYG,DAL,149,37.5,3.5,17,4400,6.32,1.4,0,0.1,4,4.1,0.9
Roschon Johnson,RB,CHI,DET,383,48.5,9.5,19.5,4500,6.05,1.3,0,4.1,1.4,5.5,1.2
KaVontae Turpin,WR,DAL,NYG,-181,37.5,-3.5,20.5,3300,3.94,1.2,0,0.6,1.5,2.1,0.6
Tim Patrick,WR,DET,CHI,-520,48.5,-9.5,29,3500,4.08,1.2,0,0.1,2.1,2.2,0.6
Devin Singletary,RB,NYG,DAL,149,37.5,3.5,17,4800,5.53,1.2,0,6.6,1.7,8.3,1.7
Brevyn Spann-Ford,TE,DAL,NYG,-181,37.5,-3.5,20.5,2700,3.27,1.2,0,0,2.1,2.1,0.8
Malik Washington,WR,MIA,GB,147,48,3.5,22.25,3000,3.08,1,0,0.2,1.9,2.1,0.7
Ryan Flournoy,WR,DAL,NYG,-181,37.5,-3.5,20.5,3000,2.68,0.9,0,0,1.7,1.7,0.6
Bo Melton,WR,GB,MIA,-177,48,-3.5,25.75,3100,2.64,0.9,0,0,1.4,1.4,0.5
Jalen Brooks,WR,DAL,NYG,-181,37.5,-3.5,20.5,3100,2.76,0.9,0,0,1.9,1.9,0.6
Emanuel Wilson,RB,GB,MIA,-177,48,-3.5,25.75,4300,3.41,0.8,0,3.5,0.7,4.2,1
Malik Heath,WR,GB,MIA,-177,48,-3.5,25.75,3300,2.77,0.8,0,0.1,1.4,1.5,0.4
Raheem Mostert,RB,MIA,GB,147,48,3.5,22.25,4700,3.55,0.8,0,1.3,1.7,3,0.6
Jaylen Wright,RB,MIA,GB,147,48,3.5,22.25,4200,3.44,0.8,0,4.5,0.4,4.9,1.2
Julian Hill,TE,MIA,GB,147,48,3.5,22.25,2500,1.68,0.7,0,0,1.1,1.1,0.4
Ezekiel Elliott,RB,DAL,NYG,-181,37.5,-3.5,20.5,4400,2.47,0.6,0,2.3,0.8,3.1,0.7
Chris Brooks,RB,GB,MIA,-177,48,-3.5,25.75,4000,2.37,0.6,0,2.8,0.4,3.2,0.8
Jonathan Mingo,WR,DAL,NYG,-181,37.5,-3.5,20.5,3400,1.9,0.6,0,0,1.3,1.3,0.4
Brock Wright,TE,DET,CHI,-520,48.5,-9.5,29,3100,1.73,0.6,0,0,0.9,0.9,0.3
Durham Smythe,TE,MIA,GB,147,48,3.5,22.25,2500,1.35,0.5,0,0,0.7,0.7,0.3
Hunter Luepke,RB,DAL,NYG,-181,37.5,-3.5,20.5,4000,2.07,0.5,0,1.1,0.8,1.9,0.5
Gerald Everett,TE,CHI,DET,383,48.5,9.5,19.5,2500,1.14,0.5,0,0,0.7,0.7,0.3
Eric Gray,RB,NYG,DAL,149,37.5,3.5,17,4000,1.67,0.4,0,0.7,0.8,1.5,0.4
DeAndre Carter,WR,CHI,DET,383,48.5,9.5,19.5,3000,1.18,0.4,0,0.3,0.8,1.1,0.4
Jalin Hyatt,WR,NYG,DAL,149,37.5,3.5,17,3200,1.31,0.4,0,0,0.9,0.9,0.3
Daniel Bellinger,TE,NYG,DAL,149,37.5,3.5,17,2500,1.02,0.4,0,0,0.7,0.7,0.3
River Cracraft,WR,MIA,GB,147,48,3.5,22.25,3000,0.76,0.3,0,0,0.6,0.6,0.2
Jack Stoll,TE,MIA,GB,147,48,3.5,22.25,2500,0.75,0.3,0,0,0.4,0.4,0.2
Tyler Scott,WR,CHI,DET,383,48.5,9.5,19.5,3000,0.51,0.2,0,0,0.3,0.3,0.1
Shane Zylstra,TE,DET,CHI,-520,48.5,-9.5,29,2500,0.53,0.2,0,0,0.3,0.3,0.1
Craig Reynolds,RB,DET,CHI,-520,48.5,-9.5,29,4000,0.92,0.2,0,0.3,0.5,0.8,0.2
Jeff Wilson,RB,MIA,GB,147,48,3.5,22.25,4000,0.2,0.1,0,0.1,0.1,0.2,0.1
Sione Vaki,RB,DET,CHI,-520,48.5,-9.5,29,4000,0.58,0.1,0,0.3,0.3,0.6,0.2
Travis Homer,RB,CHI,DET,383,48.5,9.5,19.5,4000,0.33,0.1,0,0.2,0.2,0.4,0.1
Trey Lance,QB,DAL,NYG,-181,37.5,-3.5,20.5,4300,0.4,0.1,0.3,0.8,0,0.8,0.3
Ihmir Smith-Marsette,WR,NYG,DAL,149,37.5,3.5,17,3000,0.28,0.1,0,0,0.2,0.2,0.1
Dee Eskridge,WR,MIA,GB,147,48,3.5,22.25,3000,0.29,0.1,0,0,0.2,0.2,0.1
Allen Robinson,WR,DET,CHI,-520,48.5,-9.5,29,3000,0.35,0.1,0,0,0.2,0.2,0.1
Deuce Vaughn,RB,DAL,NYG,-181,37.5,-3.5,20.5,4000,0.38,0.1,0,0.2,0.2,0.4,0.1
Alec Ingold,RB,MIA,GB,147,48,3.5,22.25,4000,0,0,0,0,0,0,0
Stephen Carlson,TE,CHI,DET,383,48.5,9.5,19.5,2500,0,0,0,0,0,0,0
Skylar Thompson,QB,MIA,GB,147,48,3.5,22.25,4000,0,0,0,0,0,0,0
Braxton Berrios,WR,MIA,GB,147,48,3.5,22.25,3000,0,0,0,0,0,0,0
Tyler Huntley,QB,MIA,GB,147,48,3.5,22.25,4000,0,0,0,0,0,0,0
Tanner Conner,TE,MIA,GB,147,48,3.5,22.25,2500,0,0,0,0,0,0,0
Grant DuBose,WR,MIA,GB,147,48,3.5,22.25,3000,0,0,0,0,0,0,0
Anthony Schwartz,WR,MIA,GB,147,48,3.5,22.25,3000,0,0,0,0,0,0,0
Nsimba Webster,WR,CHI,DET,383,48.5,9.5,19.5,3000,0,0,0,0,0,0,0
Patrick Scales,TE,CHI,DET,383,48.5,9.5,19.5,2500,0,0,0,0,0,0,0
Tahj Washington,WR,MIA,GB,147,48,3.5,22.25,3000,0,0,0,0,0,0,0
Ian Wheeler,RB,CHI,DET,383,48.5,9.5,19.5,4000,0,0,0,0,0,0,0
Collin Johnson,WR,CHI,DET,383,48.5,9.5,19.5,3000,0,0,0,0,0,0,0
Greg Dulcich,TE,NYG,DAL,149,37.5,3.5,17,2500,0,0,0,0,0,0,0
Jake Ferguson,TE,DAL,NYG,-181,37.5,-3.5,20.5,3900,0,0,0,0,0,0,0
Dak Prescott,QB,DAL,NYG,-181,37.5,-3.5,20.5,4000,0,0,0,0,0,0,0
John Stephens,TE,DAL,NYG,-181,37.5,-3.5,20.5,2500,0,0,0,0,0,0,0
Brandin Cooks,WR,DAL,NYG,-181,37.5,-3.5,20.5,4500,0,0,0,0,0,0,0
Chris Manhertz,TE,NYG,DAL,149,37.5,3.5,17,2500,0,0,0,0,0,0,0
Tim Boyle,QB,NYG,DAL,149,37.5,3.5,17,4000,0,0,0,0,0,0,0
Antoine Green,WR,DET,CHI,-520,48.5,-9.5,29,3000,0,0,0,0,0,0,0
Gunner Olszewski,WR,NYG,DAL,149,37.5,3.5,17,3000,0,0,0,0,0,0,0
Hendon Hooker,QB,DET,CHI,-520,48.5,-9.5,29,4000,0,0,0,0,0,0,0
Bryce Ford-Wheaton,WR,NYG,DAL,149,37.5,3.5,17,3000,0,0,0,0,0,0,0
MarShawn Lloyd,RB,GB,MIA,-177,48,-3.5,25.75,4000,0,0,0,0,0,0,0
Tommy DeVito,QB,NYG,DAL,149,37.5,3.5,17,4500,0,0,0,0,0,0,0
Kalif Raymond,WR,DET,CHI,-520,48.5,-9.5,29,3400,0,0,0,0,0,0,0
AJ Dillon,RB,GB,MIA,-177,48,-3.5,25.75,4000,0,0,0,0,0,0,0
Tyler Davis,TE,GB,MIA,-177,48,-3.5,25.75,2500,0,0,0,0,0,0,0
Malik Willis,QB,GB,MIA,-177,48,-3.5,25.75,4000,0,0,0,0,0,0,0
Romeo Doubs,WR,GB,MIA,-177,48,-3.5,25.75,4600,0,0,0,0,0,0,0
John FitzPatrick,TE,GB,MIA,-177,48,-3.5,25.75,2500,0,0,0,0,0,0,0
Tyson Bagent,QB,CHI,DET,383,48.5,9.5,19.5,4000,0,0,0,0,0,0,0
Luke Musgrave,TE,GB,MIA,-177,48,-3.5,25.75,2500,0,0,0,0,0,0,0
Ben Sims,TE,GB,MIA,-177,48,-3.5,25.75,2500,0,0,0,0,0,0,0
Marcedes Lewis,TE,CHI,DET,383,48.5,9.5,19.5,2500,0,0,0,0,0,0,0
Justin Herbert,QB,LAC,ATL,-124,47.5,-1.5,24.5,5600,18.69,3.3,33.9,3.2,0,3.2,6.6
Chase Brown,RB,CIN,PIT,-156,47.5,-3,25.25,6200,18.51,3,0,17.9,4.9,22.8,3.7
Kyler Murray,QB,ARI,MIN,150,45,3.5,20.75,6100,18.33,3,29.9,7,0,7,6
Sam Darnold,QB,MIN,ARI,-182,45,-3.5,24.25,5900,17.69,3,34.4,2.7,0,2.7,6.3
Anthony Richardson,QB,IND,NE,-149,42.5,-2.5,22.5,5500,16.56,3,27.5,7.2,0,7.2,6.3
Travis Kelce,TE,KC,LV,-746,42.5,-13,27.75,5600,16.59,3,0,0.1,8.5,8.6,1.5
Joe Burrow,QB,CIN,PIT,-156,47.5,-3,25.25,7000,20.31,2.9,36.9,3.2,0,3.2,5.7
Patrick Mahomes,QB,KC,LV,-746,42.5,-13,27.75,6800,19.95,2.9,34.1,3.7,0,3.7,5.6
Geno Smith,QB,SEA,NYJ,-126,42.5,-2,22.25,5500,15.76,2.9,33.2,2.8,0,2.8,6.5
Josh Allen,QB,BUF,SF,-328,44.5,-7,25.75,7800,22.54,2.9,32.9,6.5,0,6.5,5.1
Bryce Young,QB,CAR,TB,207,46.5,6,20.25,4700,13.84,2.9,31.6,2.9,0,2.9,7.3
Matthew Stafford,QB,LAR,NO,-152,49,-2.5,25.75,5800,16.14,2.8,33.1,0.9,0,0.9,5.9
Russell Wilson,QB,PIT,CIN,131,47.5,3,22.25,5700,16.08,2.8,28.7,3.2,0,3.2,5.6
Trevor Lawrence,QB,JAX,HOU,169,43.5,4.5,19.5,5400,15.13,2.8,32,3,0,3,6.5
Baker Mayfield,QB,TB,CAR,-261,46.5,-6,26.25,6600,18.78,2.8,34.4,3.2,0,3.2,5.7
Will Levis,QB,TEN,WAS,216,44.5,6,19.25,5000,13.86,2.8,32.4,2.8,0,2.8,7
Lamar Jackson,QB,BAL,PHI,-157,51.5,-3,27.25,8000,21.86,2.7,27.3,8.9,0,8.9,4.5
Jayden Daniels,QB,WAS,TEN,-267,44.5,-6,25.25,7200,19.31,2.7,28.5,7,0,7,4.9
Dalton Schultz,TE,HOU,JAX,-207,43.5,-4.5,24,3300,8.83,2.7,0,0,4.9,4.9,1.5
Derek Carr,QB,NO,LAR,127,49,2.5,23.25,5100,13.91,2.7,31.2,1.8,0,1.8,6.5
Brock Purdy,QB,SF,BUF,255,44.5,7,18.75,6200,16.46,2.7,28.6,2.3,0,2.3,5
Jalen Hurts,QB,PHI,BAL,130,51.5,3,24.25,7700,21.02,2.7,29,8.9,0,8.9,4.9
Aaron Rodgers,QB,NYJ,SEA,100,42.5,2,20.25,5300,14.48,2.7,32.1,1.9,0,1.9,6.4
C.J. Stroud,QB,HOU,JAX,-207,43.5,-4.5,24,6400,16.36,2.6,34.4,2.7,0,2.7,5.8
Jameis Winston,QB,CLE,DEN,198,41.5,5.5,18,5700,14.64,2.6,35.5,2.5,0,2.5,6.7
Indianapolis Colts,D,IND,NE,-149,42.5,-2.5,22.5,2800,7.23,2.6,0,0,0,0,0
Kirk Cousins,QB,ATL,LAC,104,47.5,1.5,23,6000,15.69,2.6,31.9,1.7,0,1.7,5.6
Zach Ertz,TE,WAS,TEN,-267,44.5,-6,25.25,3800,9.82,2.6,0,0,6.1,6.1,1.6
Drake Maye,QB,NE,IND,125,42.5,2.5,20,5600,14.45,2.6,30.4,5.8,0,5.8,6.5
Michael Pittman,WR,IND,NE,-149,42.5,-2.5,22.5,5200,13.15,2.5,0,0.1,7.8,7.9,1.5
Bo Nix,QB,DEN,CLE,-243,41.5,-5.5,23.5,6300,15.54,2.5,32.7,4.2,0,4.2,5.9
Alvin Kamara,RB,NO,LAR,127,49,2.5,23.25,7700,19.4,2.5,0,16.6,5.7,22.3,2.9
T.J. Hockenson,TE,MIN,ARI,-182,45,-3.5,24.25,4400,10.79,2.5,0,0,6.1,6.1,1.4
Amari Cooper,WR,BUF,SF,-328,44.5,-7,25.75,5200,12.96,2.5,0,0.1,6.7,6.8,1.3
Drake London,WR,ATL,LAC,104,47.5,1.5,23,6500,16.21,2.5,0,0.1,8.5,8.6,1.3
Kayshon Boutte,WR,NE,IND,125,42.5,2.5,20,3400,8.61,2.5,0,0.3,5.3,5.6,1.6
Aidan O'Connell,QB,LV,KC,523,42.5,13,14.75,4800,11.87,2.5,31.7,1.5,0,1.5,6.9
Devaughn Vele,WR,DEN,CLE,-243,41.5,-5.5,23.5,4400,10.41,2.4,0,0,6.3,6.3,1.4
New England Patriots,D,NE,IND,125,42.5,2.5,20,2500,5.89,2.4,0,0,0,0,0
Breece Hall,RB,NYJ,SEA,100,42.5,2,20.25,7500,17.86,2.4,0,16.9,4.4,21.3,2.8
Hunter Henry,TE,NE,IND,125,42.5,2.5,20,4200,9.97,2.4,0,0,6,6,1.4
Jakobi Meyers,WR,LV,KC,523,42.5,13,14.75,5300,12.59,2.4,0.1,0.4,8.5,8.9,1.7
Jauan Jennings,WR,SF,BUF,255,44.5,7,18.75,5400,12.77,2.4,0,0.1,6.9,7,1.3
New York Jets,D,NYJ,SEA,100,42.5,2,20.25,2500,5.9,2.4,0,0,0,0,0
Buffalo Bills,D,BUF,SF,-328,44.5,-7,25.75,3000,7.16,2.4,0,0,0,0,0
Arizona Cardinals,D,ARI,MIN,150,45,3.5,20.75,2400,5.69,2.4,0,0,0,0,0
Bijan Robinson,RB,ATL,LAC,104,47.5,1.5,23,7300,17.73,2.4,0,15.1,4.9,20,2.7
Joe Mixon,RB,HOU,JAX,-207,43.5,-4.5,24,8000,18.74,2.3,0,19.4,4.1,23.5,2.9
Tee Higgins,WR,CIN,PIT,-156,47.5,-3,25.25,6600,15.31,2.3,0,0.1,8.1,8.2,1.2
Derrick Henry,RB,BAL,PHI,-157,51.5,-3,27.25,7800,17.78,2.3,0,17.4,1.4,18.8,2.4
Washington Commanders,D,WAS,TEN,-267,44.5,-6,25.25,3400,7.81,2.3,0,0,0,0,0
Courtland Sutton,WR,DEN,CLE,-243,41.5,-5.5,23.5,6300,14.4,2.3,0,0.1,8.8,8.9,1.4
Kyren Williams,RB,LAR,NO,-152,49,-2.5,25.75,7200,16.51,2.3,0,16.8,3,19.8,2.8
Aaron Jones,RB,MIN,ARI,-182,45,-3.5,24.25,6500,14.97,2.3,0,14.3,3.6,17.9,2.8
Zay Flowers,WR,BAL,PHI,-157,51.5,-3,27.25,6200,13.97,2.3,0,0.5,7.1,7.6,1.2
Dallas Goedert,TE,PHI,BAL,130,51.5,3,24.25,4300,9.85,2.3,0,0,5.6,5.6,1.3
Mark Andrews,TE,BAL,PHI,-157,51.5,-3,27.25,3900,8.97,2.3,0,0,4.3,4.3,1.1
Adam Thielen,WR,CAR,TB,207,46.5,6,20.25,4800,10.8,2.3,0,0.1,7,7.1,1.5
Christian McCaffrey,RB,SF,BUF,255,44.5,7,18.75,8200,18.99,2.3,0,16.5,5,21.5,2.6
DeAndre Hopkins,WR,KC,LV,-746,42.5,-13,27.75,5500,12.77,2.3,0,0.1,6.1,6.2,1.1
Denver Broncos,D,DEN,CLE,-243,41.5,-5.5,23.5,3300,7.7,2.3,0,0,0,0,0
Isiah Pacheco,RB,KC,LV,-746,42.5,-13,27.75,6200,14.45,2.3,0,12.9,3.1,16,2.6
Nico Collins,WR,HOU,JAX,-207,43.5,-4.5,24,7900,17.36,2.2,0,0.1,8.9,9,1.1
Los Angeles Rams,D,LAR,NO,-152,49,-2.5,25.75,2700,5.91,2.2,0,0,0,0,0
Puka Nacua,WR,LAR,NO,-152,49,-2.5,25.75,7600,16.6,2.2,0,0.5,8.4,8.9,1.2
Bucky Irving,RB,TB,CAR,-261,46.5,-6,26.25,5800,12.59,2.2,0,11.1,3.1,14.2,2.4
Cade Otton,TE,TB,CAR,-261,46.5,-6,26.25,4500,9.66,2.2,0,0,5.2,5.2,1.2
Rachaad White,RB,TB,CAR,-261,46.5,-6,26.25,5300,11.41,2.2,0,8.8,3.6,12.4,2.3
Chuba Hubbard,RB,CAR,TB,207,46.5,6,20.25,6700,14.82,2.2,0,16.5,3.7,20.2,3
Terry McLaurin,WR,WAS,TEN,-267,44.5,-6,25.25,7100,15.9,2.2,0,0.1,7.9,8,1.1
Will Dissly,TE,LAC,ATL,-124,47.5,-1.5,24.5,4000,8.83,2.2,0,0,4.7,4.7,1.2
Ja'Marr Chase,WR,CIN,PIT,-156,47.5,-3,25.25,8600,18.68,2.2,0,0.2,8.8,9,1
Seattle Seahawks,D,SEA,NYJ,-126,42.5,-2,22.25,3200,6.94,2.2,0,0,0,0,0
Houston Texans,D,HOU,JAX,-207,43.5,-4.5,24,3500,7.69,2.2,0,0,0,0,0
Jaxon Smith-Njigba,WR,SEA,NYJ,-126,42.5,-2,22.25,6300,14.02,2.2,0,0.1,8.2,8.3,1.3
Kenneth Walker,RB,SEA,NYJ,-126,42.5,-2,22.25,7000,15.13,2.2,0,16.4,4.1,20.5,2.9
Tyler Conklin,TE,NYJ,SEA,100,42.5,2,20.25,3000,6.44,2.2,0,0,3.7,3.7,1.2
Jonathan Taylor,RB,IND,NE,-149,42.5,-2.5,22.5,6900,14.81,2.2,0,16.1,2.5,18.6,2.7
Jacksonville Jaguars,D,JAX,HOU,169,43.5,4.5,19.5,2300,4.94,2.2,0,0,0,0,0
Tennessee Titans,D,TEN,WAS,216,44.5,6,19.25,2400,5.31,2.2,0,0,0,0,0
Calvin Austin,WR,PIT,CIN,131,47.5,3,22.25,3300,7.08,2.2,0,0.8,4.2,5,1.5
Trey McBride,TE,ARI,MIN,150,45,3.5,20.75,5800,12.51,2.2,0,0,7.4,7.4,1.3
Javonte Williams,RB,DEN,CLE,-243,41.5,-5.5,23.5,4700,10.16,2.2,0,7.1,4.4,11.5,2.4
Ladd McConkey,WR,LAC,ATL,-124,47.5,-1.5,24.5,6100,13.31,2.2,0,0.1,6.9,7,1.1
Tank Dell,WR,HOU,JAX,-207,43.5,-4.5,24,5900,12.22,2.1,0,0.9,5.8,6.7,1.1
Trey Palmer,WR,TB,CAR,-261,46.5,-6,26.25,3600,7.4,2.1,0,0.4,4.2,4.6,1.3
George Kittle,TE,SF,BUF,255,44.5,7,18.75,6200,13.15,2.1,0,0.1,6.6,6.7,1.1
George Pickens,WR,PIT,CIN,131,47.5,3,22.25,6800,13.91,2.1,0,0.1,7.6,7.7,1.1
Sterling Shepard,WR,TB,CAR,-261,46.5,-6,26.25,4000,8.36,2.1,0,0,4.6,4.6,1.2
Mike Evans,WR,TB,CAR,-261,46.5,-6,26.25,6700,14.32,2.1,0,0.1,7.4,7.5,1.1
DeMario Douglas,WR,NE,IND,125,42.5,2.5,20,4700,9.82,2.1,0,0.4,6,6.4,1.4
Carolina Panthers,D,CAR,TB,207,46.5,6,20.25,2300,4.9,2.1,0,0,0,0,0
Brock Bowers,TE,LV,KC,523,42.5,13,14.75,6000,12.36,2.1,0,0,7.8,7.8,1.3
Brian Robinson,RB,WAS,TEN,-267,44.5,-6,25.25,6100,12.74,2.1,0,14.8,2.5,17.3,2.8
Cleveland Browns,D,CLE,DEN,198,41.5,5.5,18,2600,5.52,2.1,0,0,0,0,0
DK Metcalf,WR,SEA,NYJ,-126,42.5,-2,22.25,6400,13.51,2.1,0,0.1,7.7,7.8,1.2
Noah Fant,TE,SEA,NYJ,-126,42.5,-2,22.25,3600,7.41,2.1,0,0,4.4,4.4,1.2
Noah Brown,WR,WAS,TEN,-267,44.5,-6,25.25,4400,9.06,2.1,0,0.2,4.8,5,1.1
Evan Engram,TE,JAX,HOU,169,43.5,4.5,19.5,4800,10.29,2.1,0,0,6.6,6.6,1.4
Kansas City Chiefs,D,KC,LV,-746,42.5,-13,27.75,3700,7.89,2.1,0,0,0,0,0
Las Vegas Raiders,D,LV,KC,523,42.5,13,14.75,2200,4.62,2.1,0,0,0,0,0
Calvin Ridley,WR,TEN,WAS,216,44.5,6,19.25,5700,11.74,2.1,0,0.4,7.7,8.1,1.4
Philadelphia Eagles,D,PHI,BAL,130,51.5,3,24.25,2600,5.49,2.1,0,0,0,0,0
Noah Gray,TE,KC,LV,-746,42.5,-13,27.75,3300,6.97,2.1,0,0,3.5,3.5,1.1
Khalil Shakir,WR,BUF,SF,-328,44.5,-7,25.75,6100,12.49,2.1,0,0.1,6.4,6.5,1.1
New Orleans Saints,D,NO,LAR,127,49,2.5,23.25,2600,5.4,2.1,0,0,0,0,0
Saquon Barkley,RB,PHI,BAL,130,51.5,3,24.25,8500,17.43,2.1,0,17.9,3.3,21.2,2.5
James Conner,RB,ARI,MIN,150,45,3.5,20.75,6600,13.58,2.1,0,14.5,3.1,17.6,2.7
Jordan Addison,WR,MIN,ARI,-182,45,-3.5,24.25,5300,10.98,2.1,0,0.2,5.6,5.8,1.1
Justin Jefferson,WR,MIN,ARI,-182,45,-3.5,24.25,8100,16.52,2,0,0.1,8.4,8.5,1.1
Cedric Tillman,WR,CLE,DEN,198,41.5,5.5,18,5100,10.29,2,0,0.2,6.8,7,1.4
DeVonta Smith,WR,PHI,BAL,130,51.5,3,24.25,5800,11.76,2,0,0.1,6.4,6.5,1.1
A.J. Brown,WR,PHI,BAL,130,51.5,3,24.25,8300,16.55,2,0,0.1,8.4,8.5,1
Garrett Wilson,WR,NYJ,SEA,100,42.5,2,20.25,6900,14.06,2,0,0.3,8.1,8.4,1.2
Kyle Pitts,TE,ATL,LAC,104,47.5,1.5,23,4600,8.96,2,0,0,4.9,4.9,1.1
Ja'Tavion Sanders,TE,CAR,TB,207,46.5,6,20.25,3400,6.84,2,0,0,4.1,4.1,1.2
Darnell Mooney,WR,ATL,LAC,104,47.5,1.5,23,5600,11.23,2,0,0.2,6.4,6.6,1.2
Atlanta Falcons,D,ATL,LAC,104,47.5,1.5,23,2700,5.37,2,0,0,0,0,0
Rhamondre Stevenson,RB,NE,IND,125,42.5,2.5,20,5900,11.95,2,0,12.8,3.5,16.3,2.8
Davis Allen,TE,LAR,NO,-152,49,-2.5,25.75,2700,5.52,2,0,0,3,3,1.1
Dalton Kincaid,TE,BUF,SF,-328,44.5,-7,25.75,4900,9.88,2,0,0,5.5,5.5,1.1
Jaylen Warren,RB,PIT,CIN,131,47.5,3,22.25,5500,10.86,2,0,9.6,3.1,12.7,2.3
Marvin Harrison,WR,ARI,MIN,150,45,3.5,20.75,6000,11.92,2,0,0,6.5,6.5,1.1
