PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Sione Vaki,RB,DET,GB,-175,48.00,-3.50,25.75,4000,1.04,0.3,0.0,0.8,0.5,1.3,0.3
Stone Smartt,TE,LAC,CLE,-124,42.50,-1.50,22.00,2500,0.73,0.3,0.0,0.0,0.4,0.4,0.2
Quintin Morris,TE,BUF,MIA,-275,49.50,-6.00,27.75,2500,0.79,0.3,0.0,0.0,0.4,0.4,0.2
Drew Ogletree,TE,IND,MIN,194,46.50,5.50,20.50,2500,0.86,0.3,0.0,0.0,0.5,0.5,0.2
Trenton Irwin,WR,CIN,LV,-351,46.50,-7.50,27.00,3000,0.78,0.3,0.0,0.0,0.4,0.4,0.1
Cedrick Wilson,WR,NO,CAR,-368,43.50,-7.50,25.50,4100,1.26,0.3,0.0,0.0,0.7,0.7,0.2
Laviska Shenault,WR,SEA,LAR,103,48.50,1.50,23.50,3200,1.10,0.3,0.0,0.7,0.6,1.3,0.4
Tyquan Thornton,WR,NE,TEN,147,38.00,3.50,17.25,3000,1.03,0.3,0.0,0.1,0.7,0.8,0.3
Jack Stoll,TE,PHI,JAX,-352,45.50,-7.50,26.50,2500,0.60,0.2,0.0,0.0,0.3,0.3,0.1
Tylan Wallace,WR,BAL,DEN,-451,45.50,-9.00,27.25,3000,0.48,0.2,0.0,0.0,0.3,0.3,0.1
Tyreik McAllister,WR,LV,CIN,271,46.50,7.50,19.50,3000,0.59,0.2,0.0,0.2,0.4,0.6,0.2
Jamari Thrash,WR,CLE,LAC,103,42.50,1.50,20.50,3000,0.50,0.2,0.0,0.0,0.3,0.3,0.1
Ainias Smith,WR,PHI,JAX,-352,45.50,-7.50,26.50,3000,0.71,0.2,0.0,0.0,0.4,0.4,0.1
Tyler Goodson,RB,IND,MIN,194,46.50,5.50,20.50,5200,0.86,0.2,0.0,0.7,0.3,1.0,0.2
Craig Reynolds,RB,DET,GB,-175,48.00,-3.50,25.75,4000,0.87,0.2,0.0,0.3,0.5,0.8,0.2
John Bates,TE,WAS,NYG,-189,44.00,-3.50,23.75,2500,0.58,0.2,0.0,0.0,0.4,0.4,0.2
K.J. Osborn,WR,NE,TEN,147,38.00,3.50,17.25,3200,0.64,0.2,0.0,0.0,0.4,0.4,0.1
Cam Akers,RB,MIN,IND,-240,46.50,-5.50,26.00,4500,0.86,0.2,0.0,0.9,0.2,1.1,0.2
Jeremy McNichols,RB,WAS,NYG,-189,44.00,-3.50,23.75,4000,0.80,0.2,0.0,1.3,0.2,1.5,0.4
Ronnie Rivers,RB,LAR,SEA,-123,48.50,-1.50,25.00,4000,0.60,0.2,0.0,0.3,0.3,0.6,0.2
Jared Wiley,TE,KC,TB,-448,45.50,-8.50,27.00,2500,0.55,0.2,0.0,0.0,0.3,0.3,0.1
DeeJay Dallas,RB,ARI,CHI,-115,44.50,-1.00,22.75,4000,0.74,0.2,0.0,0.6,0.4,1.0,0.3
Tyler Scott,WR,CHI,ARI,100,44.50,1.00,21.75,3000,0.55,0.2,0.0,0.1,0.3,0.4,0.1
